S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities,Scale_type
187,CHILDREN'S WISHING WELL,Registered with IPC,200201465K,From 01/7/2022 to 31/3/2025,Social and Welfare,"Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education",5000000
40,ARTDIS (SINGAPORE) LTD.,Registered with IPC,199500567G,From 01/2/2022 to 31/1/2025,Social and Welfare,Disability (Adult),Direct Services,5000000
374,IC2 PREPHOUSE LIMITED,Registered with IPC,201136583G,From 01/9/2022 to 30/6/2025,Social and Welfare,Disability (Children),Direct Services,5000000
752,SUN-DAC,Registered with IPC,S93SS0060K,From 01/4/2022 to 31/12/2024,Social and Welfare,Disability (Adult),"Direct Services Public awareness, promotion & advisory Training & education",5000000
154,NATIONAL HERITAGE FUND,Registered with IPC,T03CC1717K,From 01/8/2022 to 31/7/2025,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory",10000000
179,REN CI HOSPITAL,Registered with IPC,201018593M,From 16/11/2022 to 15/11/2025,Health,Nursing Home,Direct Services,20000000
600,RSVP Singapore The Organisation of Senior Volunteers,Registered with IPC,S99SS0039L,From 01/1/2022 to 31/12/2024,Health,Others; Active Ageing,Direct Services Training & education,5000000
338,GUIDE DOGS SINGAPORE LTD.,Registered with IPC,200302260G,From 01/9/2022 to 28/2/2025,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Training & education",5000000
159,CENTRE 42 LIMITED,Registered with IPC,201403108H,From 23/12/2021 to 22/12/2024,Arts and Heritage,"Theatre & Dramatic Arts,Training & Education","Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities",5000000
665,SINGAPORE CYCLING FEDERATION,Registered with IPC,S58SS0009A,From 01/12/2022 to 30/11/2025,Sports,NSAs,"Direct Services Public awareness, promotion & advisory Training & education",5000000
845,TRANSIENT WORKERS COUNT TOO (TWC2),Registered,T04SS0088C,Not Applicable,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Research",5000000
16,Association for Persons with Special Needs,Deregistered,S75SS0058K,From 01/3/2021 to 31/3/2023,Social and Welfare,"Disability (Adult),Disability (Children)",Training & education,20000000
705,SING'THEATRE LTD.,Registered with IPC,200615018Z,From 01/9/2022 to 28/2/2025,Arts and Heritage,Theatre & Dramatic Arts,,5000000
298,WILD RICE LTD,Registered with IPC,200100891D,From 01/6/2022 to 30/11/2023,Arts and Heritage,Theatre & Dramatic Arts,Direct Services,20000000
821,THE THEATRE PRACTICE LTD.,Registered with IPC,198801755D,From 01/10/2021 to 30/9/2024,Arts and Heritage,Theatre & Dramatic Arts,Research Training & education,5000000
100,HEALTHSERVE LTD.,Registered with IPC,200615440H,From 01/11/2021 to 31/10/2024,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Training & education",10000000
251,DARUL IHSAN ORPHANAGE,Registered with IPC,T07CC3022A,From 08/4/2022 to 07/4/2025,Social and Welfare,Children/Youth,,5000000
717,SOSD,Registered with IPC,T12SS0058C,From 25/7/2022 to 24/7/2024,Others,Animal Welfare,,5000000
365,MANDAI NATURE FUND LTD.,Registered with IPC,200823204E,From 01/10/2021 to 30/9/2023,Others,"Animal Welfare,Environment","Grantmaking Public awareness, promotion & advisory Research",1000000
586,SMA CHARITY FUND,Registered with IPC,201305017E,From 27/12/2022 to 26/12/2025,Health,Others,"Financial assistance, bursaries & scholarships",1000000
476,PSALT CARE LIMITED,Registered with IPC,201401059R,From 05/11/2022 to 04/11/2024,Social and Welfare,Support Groups,"Direct Services Public awareness, promotion & advisory Supports other Charities",500000
203,DEAF SPORTS ASSOCIATION (SINGAPORE),Registered,T12SS0228C,From 07/3/2020 to 31/3/2023,Sports,"Competitive Sports,Disability Sports,Non-NSAs,Youth Sports","Direct Services Supports other Charities Grantmaking Training & education Public awareness, promotion & advisory",200000
126,CampusImpact,Registered with IPC,T06SS0077A,From 01/7/2022 to 30/6/2025,Social and Welfare,Family,"Public awareness, promotion & advisory Training & education",5000000
230,COMPASSION FUND LTD.,Registered with IPC,200904371Z,From 01/3/2022 to 30/11/2024,Social and Welfare,"Children/Youth,Family","Direct Services Financial assistance, bursaries & scholarships",5000000
307,FOUNDATION OF ROTARY CLUBS (SINGAPORE) LTD,Registered with IPC,199300813R,From 01/8/2022 to 31/3/2025,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory",5000000
817,THE SUBSTATION LTD,Registered with IPC,199506857R,From 01/7/2022 to 30/6/2023,Arts and Heritage,"Others,Theatre & Dramatic Arts,Training & Education,Visual Arts",Research,5000000
288,Vision 2030 Fund,Registered with IPC,T14CC0007H,From 09/9/2021 to 08/9/2025,Sports,Others,"Public awareness, promotion & advisory",10000000
673,SINGAPORE HOSPICE COUNCIL,Registered with IPC,S95SS0013E,From 01/10/2021 to 30/9/2024,Health,"Hospice,Others","Public awareness, promotion & advisory Supports other Charities Training & education Research",5000000
369,Humanitarian Organization for Migration Economics,Registered with IPC,T04SS0193H,From 01/5/2023 to 31/8/2024,Social and Welfare,Community,Direct Services Research,5000000
291,Family Life Society,Deregistered,S85SS0018D,,Social and Welfare,Family,Direct Services,5000000
170,PERDAUS,Registered,S64SS0031J,Not Applicable,Religious,Islam,Training & education,10000000
430,Leukemia and Lymphoma Foundation,Registered with IPC,T02SS0150A,From 26/6/2020 to 25/6/2023,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships",5000000
566,PLAYEUM LTD.,Registered with IPC,201333807K,From 01/1/2022 to 31/12/2023,Arts and Heritage,"Others,Theatre & Dramatic Arts,Training & Education,Visual Arts",Supports other Charities Training & education,5000000
204,ENGINEERING GOOD LTD.,Registered,201408320W,Not Applicable,Others,Humanitarian Aid,"Public awareness, promotion & advisory",1000000
73,FOOD FROM THE HEART,Registered with IPC,200721064R,From 01/5/2021 to 31/1/2024,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Supports other Charities",20000000
589,SOCIAL HEALTH GROWTH LTD.,Registered with IPC,201203801G,From 19/12/2022 to 18/1/2024,Social and Welfare,"Children/Youth,Family","Direct Services Financial assistance, bursaries & scholarships Training & education",1000000
217,FOOTBALLPLUS LTD.,Registered with IPC,201329363K,From 14/8/2020 to 31/8/2023,Sports,"Competitive Sports,Non-NSAs,Others,Youth Sports","Direct Services Public awareness, promotion & advisory Training & education",500000
178,QUANTEDGE FOUNDATION (SINGAPORE) LTD.,Registered with IPC,201532866G,From 17/2/2021 to 16/2/2024,Others,General Charitable Purposes,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Research",10000000
271,EMCC,Deregistered,S97SS0164E,,Social and Welfare,"Community,Family",Direct Services Training & education Research,5000000
151,NATIONAL VOLUNTEER AND PHILANTHROPY CENTRE,Registered with IPC,200817256W,From 05/11/2021 to 04/11/2024,Others,General Charitable Purposes,"Grantmaking Public awareness, promotion & advisory Supports other Charities Training & education Research",20000000
86,HOME NURSING FOUNDATION,Registered with IPC,S76SS0044D,From 01/10/2021 to 30/9/2024,Health,,Direct Services,20000000
43,Centre for a Responsible Future,Registered,S99SS0065J,Not Applicable,Others,"Animal Welfare,Environment","Public awareness, promotion & advisory Training & education",250000
387,JAZZ ASSOCIATION (SINGAPORE),Registered with IPC,201626167G,From 23/5/2021 to 22/5/2024,Arts and Heritage,"Music & Orchestras,Others,Training & Education","Financial assistance, bursaries & scholarships Grantmaking Training & education Public awareness, promotion & advisory",5000000
20,Autism Resource Centre (Singapore),Registered with IPC,S99SS0148L,From 01/2/2023 to 30/9/2025,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Training & education",20000000
57,CANCER WELLNESS LIMITED,Registered,201306807E,Not Applicable,Health,Diseases/Illnessess Support Group,"Direct Services Financial assistance, bursaries & scholarships Training & education",50000
42,CARE CORNER SENIORS SERVICES LTD.,Registered with IPC,201533890R,From 01/11/2020 to 31/10/2023,Health,"Other Community-based Services,Active Ageing,Home Care,Day Rehabilitation Centre",Direct Services,10000000
280,IC@RE HUB LTD.,Registered with IPC,201307803W,From 01/10/2021 to 30/6/2024,Social and Welfare,Community,Direct Services,500000
263,THE ESPLANADE CO LTD,Registered with IPC,199205206G,From 01/4/2023 to 31/3/2026,Arts and Heritage,"Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts",,20000000
127,Methodist Welfare Services,Registered with IPC,S81SS0088H,From 01/10/2020 to 30/9/2023,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships",20000000
203,SINGAPORE CHINESE ORCHESTRA COMPANY LIMITED,Registered with IPC,199603271D,From 02/4/2021 to 01/4/2024,Arts and Heritage,Music & Orchestras,,20000000
405,Lawn Bowls Association for the Disabled (Singapore),Registered with IPC,T04SS0110B,From 16/12/2020 to 15/12/2023,Sports,"Disability Sports,Non-NSAs","Public awareness, promotion & advisory Training & education",200000
177,"RAINBOW CENTRE, SINGAPORE",Registered with IPC,S92SS0061A,From 01/1/2021 to 31/12/2023,Social and Welfare,Disability (Children),"Direct Services Public awareness, promotion & advisory Training & education",20000000
247,ST LUKE'S ELDERCARE LTD.,Registered with IPC,199904873Z,From 01/2/2023 to 31/1/2026,Health,"Nursing Home,Others",Direct Services,20000000
177,Cheng Hong Welfare Service Society,Registered with IPC,T04SS0148G,From 01/2/2023 to 31/1/2026,Health,TCM Clinic,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships",5000000
486,Rare Disorders Society (Singapore),Registered with IPC,T11SS0113L,From 08/12/2022 to 07/12/2023,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",500000
279,THYE HUA KWAN MORAL CHARITIES LIMITED,Registered with IPC,201130733N,From 01/12/2021 to 30/11/2024,Social and Welfare,"Children/Youth,Community,Disability (Adult),Disability (Children),Eldercare,Family","Direct Services Public awareness, promotion & advisory",20000000
216,Singapore Indian Education Trust,Registered,S67SS0016E,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships",10000000
17,Association of Women for Action And Research,Registered with IPC,S85SS0089B,From 01/9/2022 to 31/8/2024,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Training & education Research",10000000
804,THE NECESSARY STAGE LTD,Registered with IPC,199202435N,From 01/10/2022 to 30/9/2024,Arts and Heritage,Theatre & Dramatic Arts,Direct Services,5000000
200,EMPOWER AGEING LIMITED,Registered with IPC,201619560Z,From 20/4/2023 to 19/4/2026,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research",1000000
182,CHILD AT STREET 11 LTD.,Registered with IPC,199501798C,From 03/4/2022 to 02/1/2024,Social and Welfare,Children/Youth,"Direct Services Financial assistance, bursaries & scholarships Training & education",5000000
537,SING LIT STATION LIMITED,Registered with IPC,201615577D,From 15/12/2021 to 14/12/2023,Arts and Heritage,Literary Arts,"Direct Services Public awareness, promotion & advisory Training & education",1000000
68,EDUCATION FUND,Exempt Charity with IPC,T06CC3002H,From 02/12/2021 to 01/12/2026,Education,Others,Grantmaking,20000000
290,FAITHACTS,Registered with IPC,T04SS0050J,From 01/10/2021 to 31/3/2024,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Financial assistance, bursaries & scholarships",5000000
551,PAVE,Registered with IPC,T02SS0100J,From 01/9/2020 to 31/5/2023,Social and Welfare,"Community,Family","Direct Services Public awareness, promotion & advisory Training & education Research",5000000
698,SINGYOUTH HUB,Registered,T11SS0032A,Not Applicable,Others,Children/Youth,Training & education,200000
619,Serangoon Moral Family Service Centre,Registered with IPC,S99SS0090L,From 01/7/2020 to 30/6/2023,Social and Welfare,Family,"Direct Services Financial assistance, bursaries & scholarships",5000000
634,Singapore After-Care Association,Registered with IPC,S61SS0083L,From 01/10/2020 to 30/9/2023,Social and Welfare,"Children/Youth,Community","Direct Services Public awareness, promotion & advisory Training & education Research",5000000
208,Singapore Heart Foundation,Registered with IPC,S70SS0007H,From 29/6/2022 to 28/6/2025,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory",20000000
123,Calvary Community Care,Registered with IPC,T10SS0047C,From 01/2/2022 to 31/10/2024,Social and Welfare,Community,Direct Services Training & education,5000000
749,STROKE SUPPORT STATION,Registered with IPC,201503222G,From 15/6/2021 to 14/6/2024,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory Training & education",5000000
282,TRYBE LIMITED,Registered with IPC,199507763G,From 01/9/2022 to 31/8/2025,Social and Welfare,"Children/Youth,Community,Family",Direct Services,10000000
284,TOUCH COMMUNITY SERVICES LIMITED,Registered with IPC,200104673R,From 01/10/2021 to 30/9/2024,Social and Welfare,Community,Direct Services Training & education,20000000
205,Singapore Buddhist Free Clinic,Registered with IPC,S69SS0009J,From 01/10/2021 to 30/9/2024,Health,TCM Clinic,Direct Services,10000000
88,BLOSSOM SEEDS LIMITED,Registered with IPC,201304904N,From 01/2/2022 to 31/1/2025,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education",5000000
133,Movement for the Intellectually Disabled of Singapore (MINDS),Registered with IPC,S62SS0075C,From 01/4/2022 to 30/6/2024,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research",20000000
535,Silver Ribbon (Singapore),Registered with IPC,T05SS0315B,From 12/5/2021 to 11/5/2024,Health,Others,"Direct Services Public awareness, promotion & advisory Training & education",1000000
140,CHRISTIAN CARE SERVICES (SINGAPORE),Registered,S99SS0072D,Not Applicable,Social and Welfare,Community,,500000
646,THE A CAPPELLA SOCIETY LTD.,Registered,200721181D,Not Applicable,Arts and Heritage,Music & Orchestras,"Public awareness, promotion & advisory Training & education",500000
813,THE SINGAPORE LYRIC OPERA LIMITED,Registered with IPC,199002445Z,From 06/6/2022 to 05/6/2023,Arts and Heritage,Theatre & Dramatic Arts,"Public awareness, promotion & advisory Training & education",5000000
4,Action For Aids (Singapore),Registered with IPC,S88SS0126A,From 30/12/2021 to 29/12/2024,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Research",10000000
780,THE COMMUNITY JUSTICE CENTRE LIMITED,Registered with IPC,201231446R,From 25/1/2023 to 24/1/2025,Others,General Charitable Purposes,Direct Services,5000000
530,O SCHOOL LTD.,Registered with IPC,200905934E,From 01/4/2023 to 31/3/2025,Arts and Heritage,"Professional, Contemporary & Ethnic Dance,Training & Education",Training & education,5000000
453,LUTHERAN COMMUNITY CARE SERVICES LIMITED,Registered with IPC,200207586Z,From 01/11/2022 to 31/10/2025,Social and Welfare,"Community,Eldercare,Family",Direct Services,5000000
612,SCIENCE CENTRE BOARD SPONSORSHIP FUND,Exempt Charity with IPC,T08CC3014D,From 01/4/2022 to 31/3/2027,Education,Local Educational Institutions/Funds,"Direct Services Public awareness, promotion & advisory Training & education",5000000
708,SNEC HEALTH ENDOWMENT FUND,Deregistered,T02CC1573C,Not Applicable,Health,,"Financial assistance, bursaries & scholarships Training & education",5000000
19,AIDHA LTD.,Registered with IPC,201006653E,From 01/5/2021 to 31/10/2023,Social and Welfare,Community,Training & education,5000000
223,Singapore Sailing Federation,Registered with IPC,S66SS0013A,From 25/5/2022 to 24/5/2025,Sports,NSAs,Training & education,10000000
401,Nature Society (Singapore),Registered with IPC,S61SS0142H,From 01/9/2022 to 31/8/2024,Others,Environment,"Public awareness, promotion & advisory Training & education Research",1000000
498,"National Book Development Council of Singapore, The",Deregistered,S68SS0042H,Not Applicable,Arts and Heritage,"Literary Arts,Training & Education","Public awareness, promotion & advisory Training & education",5000000
613,ST GABRIEL'S FOUNDATION,Registered with IPC,200105928G,From 10/8/2022 to 09/8/2025,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships Training & education",1000000
229,SINGAPORE UNIVERSITY OF TECHNOLOGY AND DESIGN,Registered with IPC,200913519C,From 21/7/2022 to 20/7/2027,Education,Local Educational Institutions/Funds,"Research Financial assistance, bursaries & scholarships Training & education",20000000
252,SUNLOVE ABODE FOR INTELLECTUALLY-INFIRMED LTD,Registered with IPC,199202859C,From 22/11/2022 to 21/11/2025,Health,"Nursing Home,Others","Direct Services Public awareness, promotion & advisory Training & education",20000000
511,SCWO-Service Fund,Deregistered,T09CC0010H,From 01/11/2019 to 30/4/2022,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Training & education Research",1000000
643,TEATER EKAMATRA LTD.,Registered,201130737W,Not Applicable,Arts and Heritage,Theatre & Dramatic Arts,,1000000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
725,Voices For Animals,Registered,T14SS0132G,Not Applicable,Others,Animal Welfare,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education",1000000
267,THE RICE COMPANY LIMITED,Registered with IPC,201408699H,From 01/2/2023 to 31/1/2024,Arts and Heritage,"Music & Orchestras,Others,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Training & Education,Visual Arts",Training & education,10000000
668,SINGAPORE ENVIRONMENT COUNCIL,Registered with IPC,199507762R,From 01/9/2021 to 31/8/2023,Others,Environment,"Public awareness, promotion & advisory Training & education",5000000
4,ABILITIES BEYOND LIMITATIONS AND EXPECTATIONS LIMITED,Registered with IPC,201022774G,From 29/8/2020 to 28/5/2023,Social and Welfare,Disability (Adult),Direct Services,5000000
139,MILK (Mainly I Love Kids) Fund,Registered with IPC,T04SS0150L,From 01/7/2021 to 31/12/2023,Social and Welfare,Family,"Grantmaking Financial assistance, bursaries & scholarships",10000000
143,MUHAMMADIYAH HEALTH & DAY CARE CENTER,Registered with IPC,T13CC0002A,Not Applicable,Health,,"Direct Services Training & education Public awareness, promotion & advisory",10000000
758,TABUNG AMAL AIDILFITRI TRUST FUND,Registered with IPC,T06CC1974E,From 01/5/2022 to 30/4/2025,Social and Welfare,"Community,Disability (Adult),Family","Financial assistance, bursaries & scholarships Public awareness, promotion & advisory",5000000
226,GEM NEW START CENTRE LIMITED,Registered with IPC,201314600E,From 06/11/2021 to 05/11/2023,Social and Welfare,Community,Direct Services Training & education,500000
88,Girl Guides Singapore,Registered with IPC,S67SS0005D,From 01/9/2021 to 31/8/2024,Education,Uniformed Groups,Supports other Charities Training & education,10000000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
277,HOPE CENTRE (SINGAPORE),Registered with IPC,S97SS0032G,From 23/9/2022 to 22/3/2025,Social and Welfare,"Children/Youth,Community,Eldercare,Family,Support Groups","Direct Services Financial assistance, bursaries & scholarships",1000000
112,LASALLE COLLEGE OF THE ARTS LIMITED,Registered with IPC,199202950W,From 04/2/2021 to 03/2/2024,Arts and Heritage,Training & Education,,20000000
492,NAM HWA OPERA LIMITED,Registered with IPC,201504648M,From 01/12/2022 to 30/11/2024,Arts and Heritage,"Historical & Cultural Conservation,Traditional Ethnic Performing Arts","Public awareness, promotion & advisory Supports other Charities Training & education",5000000
205,SINGAPORE CHUNG HWA MEDICAL INSTITUTION,Registered with IPC,201109599Z,From 23/11/2022 to 22/11/2025,Health,TCM Clinic,,20000000
174,Presbyterian Community Services,Registered with IPC,S75SS0022H,From 01/7/2022 to 31/12/2024,Social and Welfare,"Children/Youth,Community,Disability (Children),Eldercare","Direct Services Financial assistance, bursaries & scholarships Training & education Research",20000000
222,Friends of the Disabled Society,Registered,T00SS0207F,Not Applicable,Social and Welfare,Disability (Adult),Direct Services,500000
304,Young Women's Christian Association of Singapore,Registered with IPC,S61SS0075J,From 01/7/2022 to 31/3/2025,Social and Welfare,"Community,Disability (Adult),Disability (Children),Eldercare,Family",Direct Services Training & education,20000000
157,New Hope Community Services,Registered with IPC,T04SS0026C,From 01/11/2022 to 30/9/2026,Social and Welfare,Family,Direct Services,10000000
274,En Community Services Society,Registered with IPC,T03SS0051L,From 20/3/2022 to 19/3/2025,Social and Welfare,"Children/Youth,Community,Eldercare,Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education",5000000
173,PERTAPIS EDUCATION AND WELFARE CENTRE,Registered,S71SS0014H,From 01/7/2022 to 31/3/2023,Social and Welfare,"Children/Youth,Community,Eldercare",Direct Services,20000000
300,WWF-WORLD WIDE FUND FOR NATURE (SINGAPORE) LIMITED,Registered,200602275E,Not Applicable,Others,Environment,,20000000
297,FILOS COMMUNITY SERVICES LTD.,Registered with IPC,200408452G,From 01/4/2021 to 31/3/2024,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education",5000000
228,FRONTIER DANCELAND LTD.,Registered with IPC,201127710M,From 01/12/2022 to 31/5/2024,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Public awareness, promotion & advisory Training & education",1000000
175,CYCLING WITHOUT AGE SINGAPORE LTD.,Registered with IPC,201714757N,From 01/11/2022 to 31/10/2025,Health,Other Community-based Services,Direct Services Supports other Charities Training & education,500000
39,Cerebral Palsy Alliance Singapore,Registered with IPC,S60SS0003K,From 01/6/2022 to 30/11/2024,Social and Welfare,"Disability (Adult),Disability (Children),Eldercare","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research",20000000
809,THE RED PENCIL (SINGAPORE),Registered with IPC,201113675E,From 03/5/2022 to 02/11/2024,Social and Welfare,"Community,Disability (Adult),Disability (Children),Eldercare,Family,Support Groups","Direct Services Research Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory",5000000
137,NANYANG ACADEMY OF FINE ARTS,Registered with IPC,201006523M,From 01/4/2022 to 31/3/2025,Arts and Heritage,Training & Education,Training & education,20000000
10,Apex Harmony Lodge,Registered with IPC,S95SS0086F,From 30/4/2021 to 29/4/2024,Health,Nursing Home,Direct Services,20000000
38,"Catholic Welfare Services, Singapore",Registered with IPC,S61SS0167J,From 01/1/2021 to 31/12/2023,Social and Welfare,"Community,Disability (Adult),Eldercare,Family","Direct Services Financial assistance, bursaries & scholarships",20000000
560,SINGAPORE ICE HOCKEY ASSOCIATION,Registered,T02SS0138C,From 14/9/2020 to 30/9/2021,Sports,NSAs,Direct Services,1000000
28,BRIGHT HORIZONS FUND,Registered with IPC,200818009N,From 01/10/2022 to 30/9/2025,Social and Welfare,Children/Youth,Training & education,20000000
574,Singapore Planned Families Association,Registered,S63SS0018K,Not Applicable,Social and Welfare,"Community,Disability (Children),Eldercare,Family","Public awareness, promotion & advisory Training & education",500000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
497,National Arthritis Foundation,Registered with IPC,S84SS0010J,From 05/12/2022 to 04/12/2025,Health,Diseases/Illnessess Support Group,"Financial assistance, bursaries & scholarships Public awareness, promotion & advisory",5000000
183,Children-At-Risk Empowerment Association,Registered with IPC,T00SS0043E,From 01/2/2023 to 31/1/2025,Social and Welfare,Children/Youth,"Direct Services Public awareness, promotion & advisory Training & education Research",5000000
131,LOVING HEART MULTI-SERVICE CENTRE (JURONG),Registered with IPC,T04SS0129D,From 01/5/2023 to 31/12/2025,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships Grantmaking Training & education",10000000
40,CHANGI HEALTH FUND (LTD.),Deregistered,201133557D,Not Applicable,Health,,"Direct Services Grantmaking Financial assistance, bursaries & scholarships Supports other Charities Training & education Research",20000000
73,Bethesda Care Services,Registered with IPC,S96SS0146D,From 01/4/2023 to 31/1/2026,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships",5000000
276,EQUAL-ARK SINGAPORE LTD.,Registered with IPC,201536378N,From 01/5/2021 to 31/7/2023,Social and Welfare,"Children/Youth,Disability (Adult)",Direct Services Training & education,5000000
280,Thye Hua Kwan Moral Society,Registered,S78SS0031K,Not Applicable,Religious,Others,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities",20000000
437,Life Community Services Society,Registered with IPC,S96SS0100H,From 01/4/2022 to 31/12/2024,Social and Welfare,Children/Youth,Direct Services,5000000
126,METHODIST SCHOOLS' FOUNDATION,Registered with IPC,199703727C,From 16/1/2021 to 15/1/2024,Education,Foundations & Trusts,"Grantmaking Financial assistance, bursaries & scholarships",20000000
206,Singapore Buddhist Lodge Welfare Foundation,Registered with IPC,S96SS0012C,From 01/6/2021 to 29/2/2024,Social and Welfare,Community,"Financial assistance, bursaries & scholarships",10000000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
648,"Tent, The",Registered,T01SS0154B,Not Applicable,Social and Welfare,Children/Youth,Direct Services,1000000
282,"Eurasian Association, The",Registered with IPC,S64SS0001E,From 18/5/2020 to 18/5/2025,Others,Self-Help Groups,"Financial assistance, bursaries & scholarships",5000000
644,SINGAPORE BOOK COUNCIL LIMITED,Registered with IPC,201805935W,From 20/12/2022 to 19/12/2023,Arts and Heritage,Literary Arts,Training & education,5000000
505,SATHECOLLECTIVE LTD.,Registered with IPC,201629632R,From 03/11/2021 to 02/11/2023,Arts and Heritage,Traditional Ethnic Performing Arts,Training & education Research,1000000
194,SINGAPORE ART MUSEUM,Registered with IPC,201330746G,From 12/12/2021 to 11/12/2024,Arts and Heritage,Visual Arts,Direct Services,20000000
344,LIMITLESS (LTD.),Registered with IPC,201713769M,From 18/5/2022 to 17/5/2023,Social and Welfare,Support Groups,"Direct Services Research Training & education Public awareness, promotion & advisory",1000000
224,SINGAPORE SYMPHONIA COMPANY LIMITED,Registered with IPC,197801125M,From 02/4/2021 to 01/4/2024,Arts and Heritage,Music & Orchestras,"Training & education Public awareness, promotion & advisory",20000000
398,KAMPUNG SENANG CHARITY AND EDUCATION FOUNDATION,Registered with IPC,S99SS0044C,From 01/7/2021 to 30/6/2023,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Training & education",5000000
771,Teen Challenge (Singapore),Registered with IPC,S87SS0001D,From 01/3/2022 to 31/8/2024,Social and Welfare,"Children/Youth,Community",Direct Services,5000000
155,CAUSES FOR ANIMALS (SINGAPORE) LIMITED,Registered with IPC,201314186Z,From 15/2/2023 to 14/2/2026,Others,Animal Welfare,"Public awareness, promotion & advisory Supports other Charities Training & education",5000000
106,Hope Initiative Alliance,Registered,T04SS0054D,Not Applicable,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Grantmaking Public awareness, promotion & advisory Supports other Charities Training & education",10000000
789,THE GROUND CO LIMITED,Registered with IPC,201632916C,From 01/5/2023 to 30/4/2025,Arts and Heritage,Others,"Public awareness, promotion & advisory Training & education Research",5000000
60,Caregivers' Association of the Mentally-ill (CAMI),Registered,T05SS0189F,Not Applicable,Social and Welfare,"Disability (Adult),Disability (Children),Eldercare,Family,Support Groups","Public awareness, promotion & advisory Supports other Charities Training & education",50000
