Receiving NPO Name*,UEN
Malay Youth Literary Association,S48SS0014A
Resilience Collective Ltd,201822261W
Singapore Association of the Visually Handicapped,S61SS0119J
National Heritage Board - National Heritage Fund,T03CC1717K
Operation Hope Foundation,200104386W
O'JOY CARE SERVICES,T04SS0047J
Kwong Wai Shiu Hospital,201615448C
Boys' Town,201534576H
Food From The Heart,200721064R
Hagar Singapore Ltd,200401226H
Singapore Children's Society,S62SS0057G
Canossaville Children and Community Services,S87CC0462K
Willing Hearts,T05SS0071J
Breast Cancer Foundation,S97SS0137L
Asia Pacific Hospice Palliative Care Network (APHN),T01SS0003A
Dover Park Hospice,S92SS0138D
Animal Lovers League,T02SS0040E
Shan You,S95SS0103B
Singapore Children's Society,S62SS0057G
Club Rainbow (Singapore),S92SS0137H
SOCIETY FOR WINGS,T07SS0263K
Cat Welfare Society,S99SS0144E
Compassion Fund,200904371Z
"The Eurasian Association, Singapore",S64SS0001E
Club Rainbow (Singapore),S92SS0137H
National University of Singapore,200604346E
Serangoon Moral Family Service Centre,S99SS0090L
Operation Hope Foundation,200104386W
Guide Dogs Singapore Ltd.,200302260G
Operation Hope Foundation,200104386W
National Heritage Board - National Heritage Fund,T03CC1717K
Vision 2030 Fund,T14CC0007H
Garden City Fund,T02CC1634C
Sathya Sai Social Service (Singapore),S96SS0160E
DYSLEXIA ASSOCIATION OF SINGAPORE,S91SS0096B
Singapore Symphonia Company Limited,197801125M
KKH Health Fund,201624016E
NCC Research Fund,T05CC1897G
Kampung Senang Charity & Education Foundation,S99SS0044C
Cycling Without Age Singapore,201714757N
Caritas Singapore Community Council - The Caritas Singapore Agape Fund,T06CC2001K
Trybe Limited,199507763G
Causes For Animals (Singapore) Limited,201314186Z
All Saints Home,S87SS0068F
BEYOND SOCIAL SERVICES,S87SS0025J
The Food Bank Singapore Ltd,201200654E
National Heritage Board - National Heritage Fund,T03CC1717K
TTSH Community Fund,201400920N
Save Our Street Dogs,T12SS0058C
Morning Star Community Services Ltd.,201617675H
Playeum Ltd,201333807K
Operation Hope Foundation,200104386W
AMKFSC Community Services,201229817Z
Riding For The Disabled Association of Singapore,S82SS0081H
365 Cancer Prevention Society,T03SS0046H
Singapore Squash Rackets Association,S70SS0024H
NDCS Tooth Fairy Fund,201624016E
Morning Star Community Services Ltd.,201617675H
Parkinson Society Singapore,S96SS0203J
Fei Yue Family Service Centre,S94SS0031G
VIVA Foundation for Children with Cancer,200601578E
Singapore Red Cross Society,S86CC0370E
Riding For The Disabled Association of Singapore,S82SS0081H
Singapore Red Cross Society,S86CC0370E
Montfort Care,200814118E
The Food Bank Singapore Ltd,201200654E
NUHS Fund Limited,201203593Z
Caregivers Alliance Limited,201131617N
NCCS Cancer Fund,201624016E
Willing Hearts,T05SS0071J
NCC Research Fund,T05CC1897G
LEMBAGA BIASISWA KENANGAN MAULUD,S66SS0027A
Friends of the Disabled Society,T00SS0207F
Caregivers Alliance Limited,201131617N
CLARITY SINGAPORE LIMITED,201021634E
Food From The Heart,200721064R
Vision 2030 Fund,T14CC0007H
NCC Research Fund,T05CC1897G
Movement for the Intellectually Disabled of Singapore (MINDS),S62SS0075C
TTSH Community Fund,201400920N
Operation Hope Foundation,200104386W
Methodist Welfare Services,S81SS0088H
Victoria Junior College,T07GS0706C
The Community Justice Centre,201231446R
TTSH Community Fund,201400920N
The Community Justice Centre,201231446R
Children's Wishing Well,200201465K
Operation Hope Foundation,200104386W
KKH Health Fund,201624016E
Methodist Welfare Services,S81SS0088H
Care Community Services Society,S96SS0195L
NCC Research Fund,T05CC1897G
Singapore Cancer Society,S65SS0033F
Morning Star Community Services Ltd.,201617675H
Morning Star Community Services Ltd.,201617675H
Cycling Without Age Singapore,201714757N
SATA COMMHEALTH,194700119G
NUHS Fund Limited,201203593Z
Singapore Children's Society,S62SS0057G
Christian Outreach to the Handicapped,S87SS0014H
Care Community Services Society,S96SS0195L
Care Community Services Society,S96SS0195L
Care Community Services Society,S96SS0195L
Metta Welfare Association,S94SS0081K
AWWA Ltd,201500785Z
NUHS Fund Limited,201203593Z
Singapore Red Cross Society,S86CC0370E
RSVP Singapore The Organisation of Senior Volunteers,S99SS0039L
National Heritage Board - National Heritage Fund,T03CC1717K
National University of Singapore,200604346E
Society for the Prevention of Cruelty to Animals,S61SS0060B
Empower Ageing Limited,201619560Z
Assisi Hospice,201208993Z
Noah's Ark Companion Animal Rescue & Education Society,T05SS0171L
Boys' Town,201534576H
Society for the Prevention of Cruelty to Animals,S61SS0060B
Waterways Watch Society,S99SS0038D
The Food Bank Singapore Ltd,201200654E
Canossaville Children and Community Services,S87CC0462K
Metta Welfare Association,S94SS0081K
Metta Welfare Association,S94SS0081K
Metta Welfare Association,S94SS0081K
Metta Welfare Association,S94SS0081K
Metta Welfare Association,S94SS0081K
AMKFSC Community Services,201229817Z
Metta Welfare Association,S94SS0081K
WWF - World Wide Fund For Nature (Singapore) Limited,200602275E
Children's Wishing Well,200201465K
Alzheimer's Disease Association,S91SS0018J
Food From The Heart,200721064R
The National Kidney Foundation,200104750M
The Community Foundation of Singapore,200817758M
Playeum Ltd,201333807K
The A Cappella Society Ltd,200721181D
Care Community Services Society,S96SS0195L
HANDICAPS WELFARE ASSOCIATION,S69SS0057J
GEM New Start Centre Limited,201314600E
Down Syndrome Association,S96SS0170K
Community Chest,T03CC1692B
Society for the Prevention of Cruelty to Animals,S61SS0060B
The Community Foundation of Singapore,200817758M
Singapore Red Cross Society,S86CC0370E
Singapore Red Cross Society,S86CC0370E
Epworth Community Services,T08SS0123D
Kampung Senang Charity & Education Foundation,S99SS0044C
Home Nursing Foundation,S76SS0044D
NCC Research Fund,T05CC1897G
Equal-Ark Singapore Ltd,201536378N
Care for the Elderly Foundation (Singapore),S95SS0134B
VIVA Foundation for Children with Cancer,200601578E
HCA HOSPICE CARE,S89SS0106G
Club Rainbow (Singapore),S92SS0137H
Diabetes Singapore,S71SS0043E
NCC Research Fund,T05CC1897G
Care Community Services Society,S96SS0195L
Caregivers Alliance Limited,201131617N
Community Chest,T03CC1692B
Singapore Red Cross Society,S86CC0370E
Community Chest,T03CC1692B
365 Cancer Prevention Society,T03SS0046H
Singapore Buddhist Free Clinic,S69SS0009J
Community Chest,T03CC1692B
Singapore Buddhist Free Clinic,S69SS0009J
Cat Welfare Society,S99SS0144E
Club HEAL,T12SS0028K
Community Chest,T03CC1692B
Club HEAL,T12SS0028K
Community Chest,T03CC1692B
Care Community Services Society,S96SS0195L
CampusImpact,T06SS0077A
Children's Cancer Foundation,201934434R
Yong-en Care Centre,S96SS0165G
Down Syndrome Association,S96SS0170K
Save Our Street Dogs,T12SS0058C
Brahm Centre Ltd,200200167M
The Community Foundation of Singapore,200817758M
New Life Stories,201411304Z
Circle of Friends Limited,201433751W
Children's Cancer Foundation,201934434R
Dover Park Hospice,S92SS0138D
O'JOY CARE SERVICES,T04SS0047J
Rainbow Centre,S92SS0061A
O'JOY CARE SERVICES,T04SS0047J
BEYOND SOCIAL SERVICES,S87SS0025J
Children's Cancer Foundation,201934434R
The Community Justice Centre,201231446R
Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),S93SS0148C
SKH Better Health Fund,201624016E
Youth Guidance Outreach Services,S96SS0067H
TTSH Community Fund,201400920N
Community Chest,T03CC1692B
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Food From The Heart,200721064R
The Mission to Seafarers Singapore,S83SS0014K
Community Chest,T03CC1692B
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
Social Health Growth Ltd,201203801G
AWARE,S85SS0089B
Kampung Senang Charity & Education Foundation,S99SS0044C
Lions Befrienders Service Association,S95SS0076A
Trybe Limited,199507763G
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
The Community Foundation of Singapore,200817758M
Child At Street 11 Ltd,199501798C
HANDICAPS WELFARE ASSOCIATION,S69SS0057J
SCWO-Star Shelter,T00CC1406K
Operation Hope Foundation,200104386W
Habitat for Humanity Singapore Ltd,200201617W
Caritas Singapore Community Council - The Caritas Singapore Agape Fund,T06CC2001K
Cheng Hong Welfare Service Society,T04SS0148G
Cheng Hong Welfare Service Society,T04SS0148G
Cheng Hong Welfare Service Society,T04SS0148G
Community Chest,T03CC1692B
Epworth Community Services,T08SS0123D
SATA COMMHEALTH,194700119G
Singapore Red Cross Society,S86CC0370E
Community Chest,T03CC1692B
Assisi Hospice,201208993Z
Singapore Hospice Council,S95SS0013E
SPD (formerly Society for the Physically Disabled),S64SS0052D
Daughters Of Tomorrow Limited,201425430M
Make-A-Wish Foundation (S) Ltd,200201965D
Mercy Relief,200306035Z
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Sing Lit Station Limited,201615577D
Sree Narayana Mission (Singapore),S48SS0016D
Children's Cancer Foundation,201934434R
Club Rainbow (Singapore),S92SS0137H
Canossaville Children and Community Services,S87CC0462K
The National Kidney Foundation,200104750M
Esplanade - Theatres on the Bay,199205206G
New Life Stories,201411304Z
The Singapore Association for the Deaf,S62SS0061C
New Life Community Services,T00SS0057E
Home Nursing Foundation,S76SS0044D
Kampung Senang Charity & Education Foundation,S99SS0044C
REACH Community Services Society,S98SS0144L
Children's Cancer Foundation,201934434R
Calvary Community Care,T10SS0047C
Boys' Town,201534576H
NeuGen Fund,S00CC0006G
SATA COMMHEALTH,194700119G
Children's Cancer Foundation,201934434R
Singapore Repertory Theatre,199301614N
Blossom World Society,T08SS0161K
Society for the Prevention of Cruelty to Animals,S61SS0060B
AMKFSC Community Services,201229817Z
Thye Hua Kwan Moral Society,S78SS0031K
NNI Fund,201624016E
Rare Disease Fund,201624016E
Thye Hua Kwan Nursing Home Limited,201323219Z
The Community Foundation of Singapore,200817758M
Save Our Street Dogs,T12SS0058C
Assisi Hospice,201208993Z
Free Food For All Limited,201503391Z
Presbyterian Community Services,S75SS0022H
Society for the Prevention of Cruelty to Animals,S61SS0060B
ZERO WASTE SG LIMITED,201528793W
Social Health Growth Ltd,201203801G
Children's Cancer Foundation,201934434R
Care for the Elderly Foundation (Singapore),S95SS0134B
NNI Fund,201624016E
Community Chest,T03CC1692B
Children's Cancer Foundation,201934434R
TTSH Community Fund,201400920N
Singapore Red Cross Society,S86CC0370E
Cerebral Palsy Alliance Singapore,S60SS0003K
Thye Hua Kwan Nursing Home Limited,201323219Z
Hagar Singapore Ltd,200401226H
Willing Hearts,T05SS0071J
AWWA Ltd,201500785Z
SCWO-Star Shelter,T00CC1406K
365 Cancer Prevention Society,T03SS0046H
Community Chest,T03CC1692B
Marymount Centre,201402049Z
Boys' Town,201534576H
Nine Years Theatre Ltd.,201221584C
SingHealth Fund,201624016E
TOUCH COMMUNITY SERVICES,200104673R
The National Kidney Foundation,200104750M
Asia Pacific Hospice Palliative Care Network (APHN),T01SS0003A
Asia Pacific Hospice Palliative Care Network (APHN),T01SS0003A
Food From The Heart,200721064R
Community Chest,T03CC1692B
Singapore Islamic Scholars and Religious Teachers Association,S57SS0012G
ARTDIS (Singapore) Ltd.,199500567G
Cat Welfare Society,S99SS0144E
Breast Cancer Foundation,S97SS0137L
Home Nursing Foundation,S76SS0044D
Hagar Singapore Ltd,200401226H
Community Chest,T03CC1692B
Community Chest,T03CC1692B
Presbyterian Community Services,S75SS0022H
Presbyterian Community Services,S75SS0022H
Presbyterian Community Services,S75SS0022H
TTSH Community Fund,201400920N
PERTAPIS,S71SS0014H
Singapore Ballet Limited,198702432N
The National Kidney Foundation,200104750M
BEYOND SOCIAL SERVICES,S87SS0025J
President's Challenge,T03CC1692B
Community Chest,T03CC1692B
Blossom World Society,T08SS0161K
Singapore Anglican Community Services,S75SS0005H
The Salvation Army,T07CC3012G
My Community,T10SS0125C
New Hope Community Services,T04SS0026C
SAtheCollective Ltd,201629632R
SAtheCollective Ltd,201629632R
LEMBAGA BIASISWA KENANGAN MAULUD,S66SS0027A
Community Chest,T03CC1692B
Community Chest,T03CC1692B
The Necessary Stage Ltd,199202435N
Children's Wishing Well,200201465K
APEX HARMONY LODGE,S95SS0086F
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Community Chest,T03CC1692B
Children's Wishing Well,200201465K
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Community Chest,T03CC1692B
Alzheimer's Disease Association,S91SS0018J
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Breast Cancer Foundation,S97SS0137L
The Food Bank Singapore Ltd,201200654E
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Food From The Heart,200721064R
NDCS Tooth Fairy Fund,201624016E
Free Food For All Limited,201503391Z
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Metta Welfare Association,S94SS0081K
Community Chest,T03CC1692B
Community Chest,T03CC1692B
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
BEYOND SOCIAL SERVICES,S87SS0025J
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
HEALTHSERVE LTD,200615440H
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Singapore Red Cross Society,S86CC0370E
Metta Welfare Association,S94SS0081K
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Home Nursing Foundation,S76SS0044D
FOUNDATION OF ROTARY CLUBS (S) LTD,199300813R
St. John's Home For Elderly Persons,S61SS0176G
Food From The Heart,200721064R
Save Our Street Dogs,T12SS0058C
Methodist Welfare Services,S81SS0088H
Community Chest,T03CC1692B
Muhammadiyah Welfare Home,S89CC0701L
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Community Chest,T03CC1692B
Community Chest,T03CC1692B
Society for the Prevention of Cruelty to Animals,S61SS0060B
National Healthcare Group Fund,201623926M
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Club Rainbow (Singapore),S92SS0137H
National Gallery Singapore,200900977G
Society for the Prevention of Cruelty to Animals,S61SS0060B
Montfort Care,200814118E
National Heritage Board - National Heritage Fund,T03CC1717K
The Singapore Association for the Deaf,S62SS0061C
KKH Health Fund,201624016E
Bartley Community Care Services,T01SS0004H
Society for the Aged Sick,S68SS0022J
Nam Hwa Opera Limited,201504648M
SATA COMMHEALTH,194700119G
Society for the Aged Sick,S68SS0022J
Boys' Town,201534576H
Sree Narayana Mission (Singapore),S48SS0016D
Asia Pacific Hospice Palliative Care Network (APHN),T01SS0003A
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Hagar Singapore Ltd,200401226H
Marymount Centre,201402049Z
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Rare Disease Fund,201624016E
AMP Singapore,199105100D
SPD (formerly Society for the Physically Disabled),S64SS0052D
Community Chest,T03CC1692B
National Heritage Board - National Heritage Fund,T03CC1717K
The Food Bank Singapore Ltd,201200654E
Shan You,S95SS0103B
Care for the Elderly Foundation (Singapore),S95SS0134B
DYSLEXIA ASSOCIATION OF SINGAPORE,S91SS0096B
The Food Bank Singapore Ltd,201200654E
Willing Hearts,T05SS0071J
SAtheCollective Ltd,201629632R
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Cycling Without Age Singapore,201714757N
Life Community Services Society,S96SS0100H
YMCA of Singapore,S61SS0045E
AWARE,S85SS0089B
The Food Bank Singapore Ltd,201200654E
Willing Hearts,T05SS0071J
The Food Bank Singapore Ltd,201200654E
AWARE,S85SS0089B
The Food Bank Singapore Ltd,201200654E
Community Chest,T03CC1692B
The Food Bank Singapore Ltd,201200654E
HUMANITARIAN ORGANISATION FOR MIGRATION ECONOMICS,T04SS0193H
The Food Bank Singapore Ltd,201200654E
Food From The Heart,200721064R
Caritas Singapore Community Council - The Caritas Singapore Agape Fund,T06CC2001K
Food From The Heart,200721064R
The Food Bank Singapore Ltd,201200654E
Home Nursing Foundation,S76SS0044D
Community Chest,T03CC1692B
Children-At-Risk Empowerment Association (CARE Singapore),T00SS0043E
Transient Workers Count Too,T04SS0088C
Migrant Workers' Assistance Fund,T12CC0003C
The Community Foundation of Singapore,200817758M
O'JOY CARE SERVICES,T04SS0047J
Hope Centre (Singapore),S97SS0032G
The Food Bank Singapore Ltd,201200654E
Food From The Heart,200721064R
Canossaville Children and Community Services,S87CC0462K
AWARE,S85SS0089B
VIVA Foundation for Children with Cancer,200601578E
Community Chest,T03CC1692B
Children's Wishing Well,200201465K
Community Chest,T03CC1692B
BEYOND SOCIAL SERVICES,S87SS0025J
The Food Bank Singapore Ltd,201200654E
Canossaville Children and Community Services,S87CC0462K
Community Chest,T03CC1692B
Epworth Community Services,T08SS0123D
Transient Workers Count Too,T04SS0088C
Singapore University of Social Sciences,200504979Z
St. John's Home For Elderly Persons,S61SS0176G
The Community Foundation of Singapore,200817758M
Singapore University of Social Sciences,200504979Z
Caregivers Alliance Limited,201131617N
Community Chest,T03CC1692B
Children's Wishing Well,200201465K
Willing Hearts,T05SS0071J
YMCA of Singapore,S61SS0045E
Filos Community Services,200408452G
SGH Health Development Fund,201624016E
Operation Hope Foundation,200104386W
Community Chest,T03CC1692B
Operation Hope Foundation,200104386W
Community Chest,T03CC1692B
Operation Hope Foundation,200104386W
Operation Hope Foundation,200104386W
Food From The Heart,200721064R
Community Chest,T03CC1692B
Community Chest,T03CC1692B
The Food Bank Singapore Ltd,201200654E
The Food Bank Singapore Ltd,201200654E
Hagar Singapore Ltd,200401226H
Loving Heart Multi-Service Centre,T03SS0014A
Migrant Workers' Assistance Fund,T12CC0003C
Singapore Red Cross Society,S86CC0370E
TOUCH COMMUNITY SERVICES,200104673R
The Community Foundation of Singapore,200817758M
The National Kidney Foundation,200104750M
Singapore Association of the Visually Handicapped,S61SS0119J
Blossom Seeds Limited,201304904N
Social Health Growth Ltd,201203801G
Community Chest,T03CC1692B
Metta Welfare Association,S94SS0081K
AWARE,S85SS0089B
Singapore Red Cross Society,S86CC0370E
Engineering Good Ltd,201408320W
United Women Singapore,S97SS0098B
Migrant Workers' Assistance Fund,T12CC0003C
The Food Bank Singapore Ltd,201200654E
TOUCH COMMUNITY SERVICES,200104673R
Leukemia & Lymphoma Foundation,T02SS0150A
Transient Workers Count Too,T04SS0088C
Action for Aids Singapore,S88SS0126A
HEALTHSERVE LTD,200615440H
SUNLOVE ABODE FOR I/I LTD,199202859C
The Community Foundation of Singapore,200817758M
Food From The Heart,200721064R
Voices For Animals,T14SS0132G
Community Chest,T03CC1692B
The Community Foundation of Singapore,200817758M
AMKFSC Community Services,201229817Z
Persatuan Pemudi Islam Singapura (PPIS),S64SS0011K
Food From The Heart,200721064R
HUMANITARIAN ORGANISATION FOR MIGRATION ECONOMICS,T04SS0193H
Singapore Children's Society,S62SS0057G
Community Chest,T03CC1692B
SHINE Children and Youth Services,S76SS0021F
The Food Bank Singapore Ltd,201200654E
Beautiful People SG Ltd,201525056H
Persatuan Pemudi Islam Singapura (PPIS),S64SS0011K
Migrant Workers' Assistance Fund,T12CC0003C
HUMANITARIAN ORGANISATION FOR MIGRATION ECONOMICS,T04SS0193H
The Food Bank Singapore Ltd,201200654E
aLife Ltd,200204369H
AWARE,S85SS0089B
Character and Leadership Academy Limited,201412408N
Transient Workers Count Too,T04SS0088C
Care for the Elderly Foundation (Singapore),S95SS0134B
Singapore Red Cross Society,S86CC0370E
Migrant Workers' Assistance Fund,T12CC0003C
Rural Improvement Center,331
The Food Bank Singapore Ltd,201200654E
Food From The Heart,200721064R
The Community Foundation of Singapore,200817758M
St Luke's ElderCare Ltd,199904873Z
Migrant Workers' Assistance Fund,T12CC0003C
Community Chest,T03CC1692B
BEYOND SOCIAL SERVICES,S87SS0025J
Transient Workers Count Too,T04SS0088C
Samaritans of Singapore,S69SS0047D
The Food Bank Singapore Ltd,201200654E
The Straits Times School Pocket Money Fund,T11CC0007D
Community Chest,T03CC1692B
Club Rainbow (Singapore),S92SS0137H
Community Chest,T03CC1692B
Migrant Workers' Assistance Fund,T12CC0003C
Odyssey Dance Theatre Ltd,200107383N
Migrant Workers' Assistance Fund,T12CC0003C
The Food Bank Singapore Ltd,201200654E
Odyssey Dance Theatre Ltd,200107383N
Odyssey Dance Theatre Ltd,200107383N
Odyssey Dance Theatre Ltd,200107383N
Daughters Of Tomorrow Limited,201425430M
SUN-DAC,S93SS0060K
AWARE,S85SS0089B
Alzheimer's Disease Association,S91SS0018J
TTSH Community Fund,201400920N
The Community Foundation of Singapore,200817758M
Character and Leadership Academy Limited,201412408N
Bless Community Services,T08SS0032L
Bless Community Services,T08SS0032L
Hagar Singapore Ltd,200401226H
Migrant Workers' Assistance Fund,T12CC0003C
St Luke's Hospital,199205095C
Migrant Workers' Assistance Fund,T12CC0003C
Migrant Workers' Assistance Fund,T12CC0003C
National University of Singapore,200604346E
AWWA Ltd,201500785Z
Community Chest,T03CC1692B
United Women Singapore,S97SS0098B
New Life Community Services,T00SS0057E
Singapore Red Cross Society,S86CC0370E
Community Chest,T03CC1692B
HUMANITARIAN ORGANISATION FOR MIGRATION ECONOMICS,T04SS0193H
The Singapore Association for the Deaf,S62SS0061C
Hope Initiative Alliance,T04SS0054D
The Food Bank Singapore Ltd,201200654E
TOUCH International Limited,200614290G
Migrant Workers' Assistance Fund,T12CC0003C
Habitat for Humanity Singapore Ltd,200201617W
The Food Bank Singapore Ltd,201200654E
The National Kidney Foundation,200104750M
ONE (SINGAPORE),T05SS0263L
Bless Community Services,T08SS0032L
St. Andrew's Mission Hospital,T08CC3017C
Community Chest,T03CC1692B
Community Chest,T03CC1692B
Viriya Community Services,T01SS0059B
VIVA Foundation for Children with Cancer,200601578E
Character and Leadership Academy Limited,201412408N
Community Chest,T03CC1692B
Community Chest,T03CC1692B
Children-At-Risk Empowerment Association (CARE Singapore),T00SS0043E
TOUCH COMMUNITY SERVICES,200104673R
The Food Bank Singapore Ltd,201200654E
The Food Bank Singapore Ltd,201200654E
Promisedland Community Services,T02SS0212H
Xin Yuan Community Care,T05SS0150E
South Central Community Family Service Centre Limited,201301276N
Community Chest,T03CC1692B
SPD (formerly Society for the Physically Disabled),S64SS0052D
Kowabunga! Global Pte. Ltd,201216039D
Migrant Workers' Assistance Fund,T12CC0003C
Food From The Heart,200721064R
Promisedland Community Services,T02SS0212H
ARTDIS (Singapore) Ltd.,199500567G
Community Chest,T03CC1692B
The RICE Company Limited,201408699H
Ren Ci Hospital,201018593M
NCCS Cancer Fund,201624016E
Darul Ihsan Orphanage,T07CC3022A
New Hope Community Services,T04SS0026C
Singapore Red Cross Society,S86CC0370E
Morning Star Community Services Ltd.,201617675H
Singapore Association for Mental Health,S68SS0038A
Casa Raudha Women Home,T08SS0051C
Community Chest,T03CC1692B
Changi Health Fund,201133557D
New Hope Community Services,T04SS0026C
Food From The Heart,200721064R
Assisi Hospice,201208993Z
Community Chest,T03CC1692B
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
IIX Global Charitable Limited,201006538Z
Children's Wishing Well,200201465K
Alzheimer's Disease Association,S91SS0018J
Hagar Singapore Ltd,200401226H
Migrant Workers' Assistance Fund,T12CC0003C
Community Chest,T03CC1692B
SINGAPORE NATIONAL STROKE ASSOCIATION,S96SS0196G
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Lakeside Family Services,S97SS0022B
Presbyterian Community Services,S75SS0022H
CLARITY SINGAPORE LIMITED,201021634E
Morning Star Community Services Ltd.,201617675H
Migrant Workers' Assistance Fund,T12CC0003C
St Luke's ElderCare Ltd,199904873Z
Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),S93SS0148C
Bartley Community Care Services,T01SS0004H
Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),S93SS0148C
The Salvation Army,T07CC3012G
The Community Foundation of Singapore,200817758M
Rainbow Centre,S92SS0061A
Singapore Red Cross Society,S86CC0370E
Yayasan MENDAKI,198902633C
Hope Initiative Alliance,T04SS0054D
The Community Foundation of Singapore,200817758M
The Food Bank Singapore Ltd,201200654E
Blossom World Society,T08SS0161K
HUMANITARIAN ORGANISATION FOR MIGRATION ECONOMICS,T04SS0193H
Singapore Red Cross Society,S86CC0370E
Club Rainbow (Singapore),S92SS0137H
Home Nursing Foundation,S76SS0044D
Fei Yue Community Services,S96SS0134G
Fei Yue Family Service Centre,S94SS0031G
Food From The Heart,200721064R
T.H.E Dance Company Ltd.,200818017E
Community Chest,T03CC1692B
HUMANITARIAN ORGANISATION FOR MIGRATION ECONOMICS,T04SS0193H
TTSH Community Fund,201400920N
HEALTHSERVE LTD,200615440H
Metta Welfare Association,S94SS0081K
Friends of the Disabled Society,T00SS0207F
HUMANITARIAN ORGANISATION FOR MIGRATION ECONOMICS,T04SS0193H
Singapore Red Cross Society,S86CC0370E
En Community Services Society,T03SS0051L
Sian Chay Medical Institution,S62SS0055D
Community Chest,T03CC1692B
Children's Aid Society,S62SS0031K
Nam Hong Welfare Service Society,T07SS0086D
Singapore Hospice Council,S95SS0013E
ZERO WASTE SG LIMITED,201528793W
Lions Befrienders Service Association,S95SS0076A
Morning Star Community Services Ltd.,201617675H
Morning Star Community Services Ltd.,201617675H
Morning Star Community Services Ltd.,201617675H
The Food Bank Singapore Ltd,201200654E
Limitless,201713769M
Kampung Senang Charity & Education Foundation,S99SS0044C
Food From The Heart,200721064R
The Food Bank Singapore Ltd,201200654E
RAHMATAN LIL ALAMIN FOUNDATION,200910530Z
Methodist Welfare Services,S81SS0088H
Cerebral Palsy Alliance Singapore,S60SS0003K
HUMANITARIAN ORGANISATION FOR MIGRATION ECONOMICS,T04SS0193H
Community Chest,T03CC1692B
South Central Community Family Service Centre Limited,201301276N
The Food Bank Singapore Ltd,201200654E
Breast Cancer Foundation,S97SS0137L
HUMANITARIAN ORGANISATION FOR MIGRATION ECONOMICS,T04SS0193H
Equal-Ark Singapore Ltd,201536378N
Community Chest,T03CC1692B
Hope Initiative Alliance,T04SS0054D
Migrant Workers' Assistance Fund,T12CC0003C
Transient Workers Count Too,T04SS0088C
Malay Youth Literary Association,S48SS0014A
ZERO WASTE SG LIMITED,201528793W
NeuGen Fund,S00CC0006G
Migrant Workers' Assistance Fund,T12CC0003C
St. Andrew's Mission Hospital,T08CC3017C
New Life Community Services,T00SS0057E
The National Kidney Foundation,200104750M
Migrant Workers' Assistance Fund,T12CC0003C
Community Chest,T03CC1692B
Singapore Chinese Orchestra,199603271D
New Opera Singapore Ltd.,201114924K
Migrant Workers' Assistance Fund,T12CC0003C
"*SCAPE CO., LTD. ",200712761D
Migrant Workers' Assistance Fund,T12CC0003C
Babes Pregnancy Crisis Support Ltd,201314611H
